"period","Population","q25","q25.lci","q25.uci","q50","q50.lci","q50.uci","pJan1","pJan1.lci","pJan1.uci","IQR","IQR.lci","IQR.uci"
"Difference","Quillayute",32.5021396705866,24.4696306531779,40.4049558669415,25.2791174604764,16.5522443639018,32.7409585368847,-0.183986797954685,-0.22942449740448,-0.137360973226779,-16.4075966934885,-28.7247434723994,-6.17866433026517
"Difference","Hoh",71.080804677255,61.8441249320968,82.2716802264907,61.0057133109899,47.3405643922692,71.0522525763107,-0.429861029449197,-0.507279841342205,-0.351053173273493,-25.7263337465034,-52.0990272033141,-11.3516952204121
"Difference","Queets",62.9609150204649,23.6730292131499,86.3761038661183,54.4750331105629,-45.6186341296912,70.0337184990236,-0.306000640892186,-0.419968613465717,-0.161941126951837,-21.5760448275937,-81.8931681666745,4.46129970630679
"Historic","Quillayute",0.942754442379922,-5.01768200903359,6.88181723456259,35.2809439178454,29.2073086445277,43.0235847609747,0.250376062597875,0.212283731377556,0.289030439800821,68.8301141960102,60.3801492415195,80.2183092747137
"Historic","Hoh",-24.9615554652609,-36.0767380572599,-16.0095490671058,7.45097005819751,-2.45107559180633,20.8962666218836,0.450280158851765,0.371630078483295,0.527371541984773,68.7395518555146,54.4115396431942,95.0946086657313
"Historic","Queets",-10.06343666503,-32.8259644141485,28.4382663173282,24.0836278219844,9.86325677107248,123.907319210499,0.327778961517552,0.184632616652502,0.439941979831849,69.9328081501226,45.9745032784154,129.985668438436
"Current","Quillayute",33.4448941129665,27.891524069564,38.8017306423513,60.5600613783218,56.3802356589237,64.845255302457,0.0663892646431905,0.0427081233393507,0.0941984146204778,52.4225175025217,47.10293715401,58.2174699746344
"Current","Hoh",46.1192492119941,44.3738790682016,47.8243268569145,68.4566833691874,67.0889841674552,69.8336116476279,0.0204191294025681,0.0161098056013414,0.0254576066326589,43.0132181090112,41.3094834081622,44.7644811041824
"Current","Queets",52.8974783554349,45.8902837815853,59.5494475008691,78.5586609325472,73.7059375504798,83.6784932274391,0.0217783206253661,0.00842968957929173,0.0445137190683199,48.3567633225289,41.6404104549667,56.3549904222883
